epoch,train_loss,val_acc,epoch_time,acc_gradient
1,0.5616360656708979,0.8913857677902621,14.348906517028809,0.8913857677902621
2,0.3490116181986292,0.9063670411985019,14.442705869674683,0.014981273408239737
3,0.273532990087344,0.9101123595505618,14.409152507781982,0.0037453183520599342
4,0.2329430575310851,0.9213483146067416,14.30224895477295,0.011235955056179803
5,0.21931894404928112,0.9288389513108615,14.206673383712769,0.0074906367041198685
6,0.19315577154385977,0.9363295880149812,14.266754627227783,0.0074906367041197575
7,0.1776495922544149,0.9325842696629214,14.462046146392822,-0.0037453183520598232
8,0.168992164647779,0.9325842696629214,14.408919334411621,0.0
9,0.15377942298710678,0.9363295880149812,14.374251365661621,0.0037453183520598232
10,0.14688080123016953,0.9325842696629214,14.549558162689209,-0.0037453183520598232
11,0.13990310194106076,0.9325842696629214,14.418110132217407,0.0
12,0.140645004675708,0.9325842696629214,14.549103021621704,0.0
13,0.1324722334742546,0.9400749063670412,14.526328802108765,0.0074906367041197575
14,0.12433176625041323,0.9363295880149812,14.62865138053894,-0.0037453183520599342
15,0.11919848953878413,0.9363295880149812,14.550195217132568,0.0
16,0.11226989466634543,0.9400749063670412,14.26105260848999,0.0037453183520599342
17,0.11479282508182792,0.9438202247191011,14.334187269210815,0.0037453183520599342
18,0.11170357351696025,0.951310861423221,14.338389158248901,0.0074906367041198685
19,0.09910030469048622,0.947565543071161,14.227136611938477,-0.0037453183520599342
20,0.10251437190441445,0.951310861423221,14.429849863052368,0.0037453183520599342
